Total.Household.Income,Region,Total.Food.Expenditure,Household.Head.Sex,Household.Head.Age,Type.of.Household,Total.Number.of.Family.members,House.Floor.Area,House.Age,Number.of.bedrooms,Electricity
89359,X - Northern Mindanao,54537,Female,34,Single Family,10,64,11,1,0
108400,X - Northern Mindanao,56611,Male,55,Single Family,8,60,13,3,1
51982,X - Northern Mindanao,30827,Male,26,Single Family,5,48,13,1,0
76623,X - Northern Mindanao,43639,Male,53,Single Family,6,42,5,2,0
135232,X - Northern Mindanao,59614,Male,55,Single Family,6,56,5,2,1
73522,X - Northern Mindanao,47563,Male,38,Single Family,5,56,8,1,1
60369,X - Northern Mindanao,48962,Female,50,Single Family,5,48,5,1,0
60146,X - Northern Mindanao,47482,Male,32,Single Family,5,42,13,1,0
103365,X - Northern Mindanao,55666,Male,49,Single Family,8,48,3,2,0
53395,X - Northern Mindanao,18361,Male,60,Single Family,2,20,19,1,1
66831,X - Northern Mindanao,35588,Male,44,Single Family,8,24,9,1,0
126248,X - Northern Mindanao,39929,Male,65,Extended Family,3,80,32,2,1
87129,X - Northern Mindanao,37298,Female,36,Single Family,3,30,3,2,1
376878,X - Northern Mindanao,83486,Male,35,Single Family,7,30,45,2,1
536825,X - Northern Mindanao,71845,Male,50,Single Family,5,30,23,2,1
62745,X - Northern Mindanao,30356,Male,25,Single Family,4,20,45,1,1
112031,X - Northern Mindanao,45426,Male,49,Single Family,7,40,24,2,0
99715,X - Northern Mindanao,42263,Male,45,Single Family,5,50,15,2,1
80070,X - Northern Mindanao,35013,Male,30,Single Family,5,20,10,1,0
98590,X - Northern Mindanao,41392,Male,33,Single Family,4,20,11,1,1
337368,X - Northern Mindanao,62931,Male,56,Extended Family,5,20,11,0,0
170054,X - Northern Mindanao,73812,Male,57,Single Family,9,30,16,2,0
76045,X - Northern Mindanao,35430,Male,33,Extended Family,5,60,10,2,1
675745,X - Northern Mindanao,147043,Male,63,Extended Family,16,50,15,3,1
155815,X - Northern Mindanao,87280,Male,40,Extended Family,5,48,18,2,1
160816,X - Northern Mindanao,27496,Male,85,Single Family,4,150,40,2,1
580655,X - Northern Mindanao,75680,Female,54,Single Family,3,32,34,3,1
1099817,X - Northern Mindanao,95358,Male,49,Single Family,5,200,28,4,1
79883,X - Northern Mindanao,43258,Male,41,Single Family,6,25,10,1,0
75625,X - Northern Mindanao,71177,Male,41,Single Family,7,28,14,1,1
182715,X - Northern Mindanao,39470,Male,63,Single Family,3,100,25,3,1
47636,X - Northern Mindanao,25230,Male,77,Extended Family,3,30,45,2,1
169222,X - Northern Mindanao,63436,Female,76,Single Family,4,20,49,1,1
114984,X - Northern Mindanao,28102,Female,58,Single Family,4,30,42,2,1
158524,X - Northern Mindanao,49187,Male,50,Single Family,4,50,10,1,1
263277,X - Northern Mindanao,49726,Male,69,Single Family,3,27,37,1,1
106585,X - Northern Mindanao,55817,Female,20,Single Family,5,30,16,1,1
146045,X - Northern Mindanao,32047,Male,72,Single Family,3,30,35,2,1
60342,X - Northern Mindanao,36315,Male,25,Single Family,3,48,14,1,1
108382,X - Northern Mindanao,58966,Male,57,Extended Family,6,54,16,2,1
30650,X - Northern Mindanao,17907,Male,56,Single Family,1,40,25,0,0
148670,X - Northern Mindanao,56522,Male,47,Single Family,7,48,12,2,1
55826,X - Northern Mindanao,27303,Male,70,Extended Family,3,16,25,0,0
604575,X - Northern Mindanao,85821,Male,52,Extended Family,4,150,17,3,1
190978,X - Northern Mindanao,97740,Male,52,Extended Family,4,150,16,3,1
179586,X - Northern Mindanao,36120,Male,50,Extended Family,3,60,46,2,1
406028,X - Northern Mindanao,144869,Female,47,Extended Family,6,70,14,3,1
101910,X - Northern Mindanao,29713,Female,74,Single Family,2,25,5,1,1
278665,X - Northern Mindanao,59025,Male,64,Single Family,2,48,32,1,1
29575,X - Northern Mindanao,27164,Male,34,Single Family,1,20,3,1,0
41005,X - Northern Mindanao,51427,Male,39,Single Family,7,20,3,1,0
106133,X - Northern Mindanao,49047,Male,31,Two or More Nonrelated Persons/Members,5,20,5,1,1
76499,X - Northern Mindanao,43425,Male,39,Single Family,5,20,6,1,1
81765,X - Northern Mindanao,40408,Male,39,Single Family,5,20,18,1,0
57185,X - Northern Mindanao,35073,Male,28,Single Family,5,25,55,1,0
91862,X - Northern Mindanao,67338,Male,33,Single Family,8,20,13,1,1
85266,X - Northern Mindanao,42414,Male,40,Single Family,7,19,13,1,0
66055,X - Northern Mindanao,50725,Male,49,Extended Family,5,20,43,1,1
117811,X - Northern Mindanao,41048,Male,33,Single Family,6,46,8,1,1
54081,X - Northern Mindanao,27373,Male,33,Single Family,5,37,12,1,0
85918,X - Northern Mindanao,46514,Male,43,Extended Family,9,43,5,1,0
77145,X - Northern Mindanao,44039,Male,45,Single Family,6,30,12,1,1
65746,X - Northern Mindanao,47839,Male,41,Single Family,8,80,13,1,0
105354,X - Northern Mindanao,40097,Male,59,Single Family,6,120,25,1,0
72473,X - Northern Mindanao,30250,Male,55,Single Family,2,37,9,1,0
128041,X - Northern Mindanao,39058,Male,50,Single Family,3,30,17,1,1
113598,X - Northern Mindanao,70097,Male,35,Single Family,4,50,9,1,1
188858,X - Northern Mindanao,58485,Male,39,Single Family,4,80,35,1,1
354517,X - Northern Mindanao,117115,Male,63,Single Family,6,50,3,3,1
513076,X - Northern Mindanao,81813,Male,62,Extended Family,4,100,11,4,1
110955,X - Northern Mindanao,59100,Male,66,Single Family,3,50,31,2,1
431848,X - Northern Mindanao,90347,Male,50,Single Family,3,150,15,2,1
107428,X - Northern Mindanao,52493,Male,46,Single Family,4,100,6,2,1
111779,X - Northern Mindanao,61668,Male,37,Single Family,6,80,9,2,1
65120,X - Northern Mindanao,37047,Female,86,Single Family,3,45,15,2,1
333940,X - Northern Mindanao,99980,Male,87,Extended Family,6,100,36,3,1
111290,X - Northern Mindanao,47522,Male,49,Single Family,5,70,13,1,1
450174,X - Northern Mindanao,72293,Male,61,Single Family,3,100,12,4,1
197408,X - Northern Mindanao,86120,Male,64,Extended Family,5,100,33,2,1
70695,X - Northern Mindanao,33200,Male,55,Extended Family,5,60,8,1,1
119517,X - Northern Mindanao,61869,Male,51,Single Family,6,70,8,2,1
158525,X - Northern Mindanao,61834,Male,64,Single Family,3,100,33,1,1
56650,X - Northern Mindanao,38271,Male,35,Single Family,4,150,5,2,1
253732,X - Northern Mindanao,51502,Female,68,Extended Family,5,150,8,2,1
50685,X - Northern Mindanao,29367,Male,44,Single Family,5,50,11,1,0
128375,X - Northern Mindanao,53546,Male,38,Single Family,6,100,9,2,1
197619,X - Northern Mindanao,71100,Male,46,Extended Family,7,120,5,3,1
63980,X - Northern Mindanao,29119,Female,38,Single Family,5,75,40,2,1
252272,X - Northern Mindanao,74725,Male,54,Extended Family,9,100,12,3,1
163401,X - Northern Mindanao,74908,Female,44,Extended Family,8,120,8,2,1
66908,X - Northern Mindanao,27735,Female,55,Single Family,2,80,20,2,1
134906,X - Northern Mindanao,80756,Male,41,Single Family,7,27,13,0,1
134745,X - Northern Mindanao,72260,Male,46,Single Family,5,40,12,2,1
1148773,X - Northern Mindanao,187377,Male,50,Single Family,5,100,22,4,1
163094,X - Northern Mindanao,75874,Male,43,Single Family,6,40,17,2,1
41545,X - Northern Mindanao,29381,Male,60,Single Family,2,20,29,1,0
52972,X - Northern Mindanao,18474,Male,34,Single Family,1,30,25,2,1
238489,X - Northern Mindanao,67581,Male,46,Extended Family,5,40,23,3,1
125186,X - Northern Mindanao,69311,Male,55,Single Family,8,24,27,2,0
91180,X - Northern Mindanao,36872,Male,31,Single Family,3,24,21,1,1
96389,X - Northern Mindanao,43451,Male,44,Single Family,6,18,21,1,1
42486,X - Northern Mindanao,21611,Male,30,Single Family,1,22,15,1,0
30977,X - Northern Mindanao,14321,Male,71,Extended Family,2,50,10,2,1
64120,X - Northern Mindanao,25583,Male,72,Single Family,6,50,12,1,1
134883,X - Northern Mindanao,58201,Male,40,Single Family,5,70,5,2,1
54850,X - Northern Mindanao,38914,Male,38,Single Family,7,32,8,0,1
85051,X - Northern Mindanao,38909,Male,61,Single Family,5,100,21,4,1
52140,X - Northern Mindanao,33731,Male,44,Single Family,6,50,21,2,1
90487,X - Northern Mindanao,19895,Male,37,Single Family,4,80,19,2,1
46831,X - Northern Mindanao,31927,Female,67,Extended Family,8,50,9,1,0
27054,X - Northern Mindanao,15782,Male,69,Single Family,4,60,13,3,1
23988,X - Northern Mindanao,13197,Male,55,Single Family,1,50,5,1,0
66181,X - Northern Mindanao,22795,Male,35,Single Family,6,30,16,1,0
350008,X - Northern Mindanao,115591,Male,50,Single Family,8,220,17,6,1
185161,X - Northern Mindanao,58769,Male,29,Single Family,3,50,17,2,1
122990,X - Northern Mindanao,47190,Male,67,Single Family,3,70,25,2,1
139225,X - Northern Mindanao,52818,Male,28,Single Family,5,70,25,2,1
151965,X - Northern Mindanao,82050,Male,51,Single Family,5,40,19,2,1
57942,X - Northern Mindanao,24723,Female,66,Single Family,2,35,20,2,1
77953,X - Northern Mindanao,57209,Male,57,Extended Family,6,40,10,2,1
96075,X - Northern Mindanao,45176,Male,43,Single Family,4,100,14,3,1
210527,X - Northern Mindanao,57981,Male,31,Single Family,4,100,5,1,1
136537,X - Northern Mindanao,44551,Male,39,Single Family,6,100,6,1,1
189782,X - Northern Mindanao,79348,Male,53,Single Family,9,100,20,2,1
152480,X - Northern Mindanao,63742,Male,32,Single Family,6,90,35,2,1
268143,X - Northern Mindanao,84983,Male,53,Single Family,5,50,22,2,1
103967,X - Northern Mindanao,40199,Male,53,Single Family,5,80,25,2,1
504058,X - Northern Mindanao,194636,Male,47,Single Family,11,60,17,4,1
107396,X - Northern Mindanao,47081,Male,50,Extended Family,8,44,6,1,1
525775,X - Northern Mindanao,87647,Male,51,Single Family,3,48,15,3,1
93788,X - Northern Mindanao,46235,Male,51,Extended Family,9,56,4,3,0
61216,X - Northern Mindanao,38182,Male,41,Extended Family,6,50,20,2,1
104535,X - Northern Mindanao,37211,Male,67,Extended Family,10,50,18,2,1
176965,X - Northern Mindanao,55529,Male,49,Single Family,5,50,21,3,1
136492,X - Northern Mindanao,69092,Male,38,Single Family,5,50,10,2,1
33952,X - Northern Mindanao,19619,Female,54,Single Family,1,40,16,1,1
82471,X - Northern Mindanao,42533,Male,42,Extended Family,4,53,7,3,1
161287,X - Northern Mindanao,74846,Male,52,Single Family,5,65,5,2,1
50413,X - Northern Mindanao,24751,Male,28,Single Family,4,30,1,1,0
81667,X - Northern Mindanao,50239,Male,48,Single Family,7,45,4,2,1
76441,X - Northern Mindanao,55123,Male,46,Single Family,12,50,4,2,0
108758,X - Northern Mindanao,41797,Male,31,Single Family,6,24,3,1,0
133967,X - Northern Mindanao,39449,Male,53,Single Family,3,150,7,3,1
131498,X - Northern Mindanao,35848,Female,35,Single Family,2,120,7,2,1
41052,X - Northern Mindanao,15393,Male,55,Single Family,1,48,9,1,1
162980,X - Northern Mindanao,63646,Male,40,Single Family,6,50,7,2,1
142938,X - Northern Mindanao,43824,Male,48,Single Family,3,60,15,1,1
44030,X - Northern Mindanao,26619,Female,42,Single Family,3,45,13,1,1
161187,X - Northern Mindanao,53683,Male,32,Single Family,4,35,7,3,1
124167,X - Northern Mindanao,40767,Male,49,Single Family,5,55,15,3,1
112156,X - Northern Mindanao,47284,Male,50,Single Family,1,100,10,3,1
716278,X - Northern Mindanao,92783,Female,65,Single Family,3,300,20,4,1
1785603,X - Northern Mindanao,216645,Male,55,Extended Family,6,120,21,4,1
841321,X - Northern Mindanao,176776,Male,45,Extended Family,7,120,22,4,1
445853,X - Northern Mindanao,118524,Male,44,Extended Family,4,200,19,4,1
1063043,X - Northern Mindanao,115590,Male,58,Extended Family,9,160,24,5,1
238593,X - Northern Mindanao,75334,Male,56,Single Family,4,50,26,3,1
207757,X - Northern Mindanao,98617,Male,49,Single Family,5,30,8,1,1
130728,X - Northern Mindanao,47216,Male,54,Single Family,3,65,19,2,1
169950,X - Northern Mindanao,50096,Male,54,Single Family,5,20,18,1,1
808802,X - Northern Mindanao,73978,Male,64,Single Family,4,200,35,4,1
429176,X - Northern Mindanao,105432,Male,34,Single Family,5,50,6,3,1
460890,X - Northern Mindanao,101959,Male,52,Single Family,6,90,6,3,1
61289,X - Northern Mindanao,34643,Female,39,Extended Family,4,20,26,1,1
481792,X - Northern Mindanao,142822,Male,43,Single Family,5,60,35,5,1
255812,X - Northern Mindanao,66283,Male,42,Single Family,5,60,22,2,1
722025,X - Northern Mindanao,129014,Female,59,Single Family,3,100,20,4,1
58800,X - Northern Mindanao,42669,Male,30,Single Family,5,50,6,1,0
502211,X - Northern Mindanao,169534,Male,61,Extended Family,10,200,34,5,1
631816,X - Northern Mindanao,171052,Male,65,Extended Family,6,100,18,4,1
743284,X - Northern Mindanao,130239,Female,38,Single Family,6,42,38,1,1
56420,X - Northern Mindanao,23122,Female,76,Single Family,2,60,12,2,1
90540,X - Northern Mindanao,52680,Male,44,Single Family,9,72,11,2,0
52035,X - Northern Mindanao,23555,Male,74,Single Family,3,100,17,2,1
237276,X - Northern Mindanao,72996,Male,34,Single Family,5,56,30,2,1
147907,X - Northern Mindanao,88018,Male,51,Single Family,9,50,9,2,1
83994,X - Northern Mindanao,38458,Male,32,Single Family,4,80,5,1,1
67585,X - Northern Mindanao,36545,Male,55,Single Family,5,60,5,2,1
308070,X - Northern Mindanao,63289,Male,59,Single Family,4,60,13,2,1
124297,X - Northern Mindanao,68938,Male,64,Single Family,8,60,8,1,1
35832,X - Northern Mindanao,22824,Male,76,Single Family,3,56,12,1,0
66575,X - Northern Mindanao,31052,Male,53,Single Family,3,48,5,2,0
103734,X - Northern Mindanao,59655,Male,37,Single Family,6,16,13,1,1
99344,X - Northern Mindanao,53021,Male,56,Single Family,4,50,22,2,1
109910,X - Northern Mindanao,55850,Male,23,Extended Family,6,20,20,1,1
90462,X - Northern Mindanao,31036,Male,43,Single Family,4,90,10,2,1
51119,X - Northern Mindanao,33612,Male,34,Single Family,3,50,11,2,0
119986,X - Northern Mindanao,37404,Male,68,Single Family,3,100,14,2,0
74924,X - Northern Mindanao,34059,Male,42,Single Family,1,61,10,1,0
54190,X - Northern Mindanao,35625,Male,47,Single Family,6,25,13,1,0
130415,X - Northern Mindanao,47253,Male,61,Extended Family,2,120,16,5,1
121440,X - Northern Mindanao,48591,Female,43,Single Family,3,40,19,2,1
131806,X - Northern Mindanao,62310,Male,39,Single Family,3,75,12,2,1
115496,X - Northern Mindanao,92457,Male,45,Extended Family,8,51,11,3,1
65180,X - Northern Mindanao,20829,Female,85,Single Family,2,20,20,2,1
63898,X - Northern Mindanao,35793,Male,56,Extended Family,5,60,28,2,0
145466,X - Northern Mindanao,87833,Male,35,Extended Family,6,121,20,4,1
99509,X - Northern Mindanao,51252,Male,45,Single Family,6,20,10,2,0
105419,X - Northern Mindanao,50480,Female,63,Extended Family,7,50,12,1,0
101938,X - Northern Mindanao,55039,Male,49,Extended Family,5,54,22,2,0
35403,X - Northern Mindanao,19731,Female,46,Single Family,3,30,5,2,1
47960,X - Northern Mindanao,29625,Male,55,Single Family,2,60,5,2,1
32809,X - Northern Mindanao,19922,Female,73,Single Family,2,30,5,0,0
54407,X - Northern Mindanao,31114,Male,56,Single Family,6,45,27,2,1
65468,X - Northern Mindanao,40376,Male,79,Single Family,4,100,5,1,0
108672,X - Northern Mindanao,52540,Male,43,Single Family,11,100,25,2,0
184920,X - Northern Mindanao,59437,Female,78,Single Family,6,200,18,2,1
222442,X - Northern Mindanao,77621,Male,45,Single Family,7,60,5,3,1
166529,X - Northern Mindanao,41855,Male,63,Extended Family,3,360,35,2,1
75351,X - Northern Mindanao,33018,Male,35,Single Family,9,60,16,4,1
468456,X - Northern Mindanao,88835,Male,42,Single Family,4,60,5,3,1
328481,X - Northern Mindanao,71687,Male,48,Single Family,4,59,11,1,1
93542,X - Northern Mindanao,30761,Male,49,Single Family,3,100,35,2,1
140392,X - Northern Mindanao,37577,Female,65,Single Family,1,55,33,2,1
93367,X - Northern Mindanao,52969,Female,51,Extended Family,5,50,11,2,1
84059,X - Northern Mindanao,37549,Male,59,Single Family,3,50,11,3,1
64300,X - Northern Mindanao,33831,Male,35,Single Family,5,30,7,2,1
65399,X - Northern Mindanao,31278,Female,63,Extended Family,3,120,18,3,1
75721,X - Northern Mindanao,42167,Male,36,Single Family,4,120,18,3,1
105922,X - Northern Mindanao,46932,Male,55,Single Family,4,75,4,2,1
36798,X - Northern Mindanao,18143,Male,22,Single Family,4,35,8,1,0
255607,X - Northern Mindanao,66623,Male,61,Single Family,4,75,33,3,1
388928,X - Northern Mindanao,111136,Male,61,Single Family,5,120,55,2,1
139235,X - Northern Mindanao,67545,Male,49,Single Family,7,60,10,2,1
157258,X - Northern Mindanao,49614,Male,55,Extended Family,4,60,15,1,1
134342,X - Northern Mindanao,59126,Male,49,Extended Family,6,80,15,4,1
121212,X - Northern Mindanao,54010,Male,62,Extended Family,5,80,11,2,1
81705,X - Northern Mindanao,50049,Male,46,Extended Family,6,50,20,2,1
106590,X - Northern Mindanao,45164,Female,63,Single Family,3,140,9,3,1
75122,X - Northern Mindanao,39445,Male,31,Single Family,5,140,9,3,1
501282,X - Northern Mindanao,163153,Male,61,Extended Family,10,150,9,4,1
71825,X - Northern Mindanao,38651,Female,53,Extended Family,3,60,8,2,0
399892,X - Northern Mindanao,60936,Male,31,Single Family,3,120,12,2,1
262394,X - Northern Mindanao,63681,Male,71,Extended Family,6,180,30,3,1
88707,X - Northern Mindanao,37642,Male,63,Extended Family,7,65,35,1,1
